iter	Passed	Remaining
139	4747	29164
140	4776	29097
141	4804	29030
142	4833	28967
143	4861	28898
144	4889	28831
145	4917	28764
146	4943	28685
147	4970	28612
148	4995	28533
149	5022	28458
150	5048	28386
151	5074	28312
152	5102	28248
153	5129	28181
154	5156	28113
155	5190	28080
156	5217	28016
157	5242	27935
158	5269	27870
159	5294	27796
160	5319	27718
161	5343	27641
162	5392	27688
163	5422	27641
164	5445	27560
165	5469	27479
166	5493	27402
167	5518	27330
168	5544	27263
169	5570	27197
170	5596	27133
171	5620	27054
172	5644	26982
173	5668	26909
174	5693	26840
175	5717	26768
176	5742	26701
177	5768	26636
178	5794	26576
179	5818	26508
180	5845	26447
181	5870	26386
182	5895	26320
183	5922	26264
184	5949	26210
185	5976	26155
186	6000	26087
187	6024	26019
188	6048	25952
189	6073	25892
190	6099	25833
191	6125	25779
192	6155	25737
193	6180	25677
194	6205	25616
195	6229	25552
196	6254	25495
197	6280	25437
198	6304	25377
199	6333	25332
200	6358	25274
201	6381	25210
202	6407	25155
203	6430	25091
204	6455	25032
205	6479	24975
206	6506	24924
207	6531	24868
208	6555	24810
209	6579	24751
210	6605	24702
211	6631	24649
212	6656	24596
213	6683	24546
214	6710	24499
215	6738	24456
216	6761	24396
217	6788	24349
218	6812	24294
219	6838	24244
220	6862	24189
221	6886	24133
222	6912	24085
223	6938	24035
224	6961	23979
225	6986	23925
226	7010	23872
227	7035	23821
228	7058	23763
229	7082	23711
230	7106	23656
231	7131	23607
232	7155	23555
233	7180	23504
234	7204	23452
235	7228	23402
236	7255	23358
237	7279	23306
238	7303	23255
239	7327	23203
240	7351	23153
241	7376	23104
242	7400	23052
243	7423	22999
244	7449	22955
245	7473	22905
246	7495	22852
247	7520	22804
248	7545	22757
249	7569	22708
250	7594	22661
251	7617	22611
252	7641	22563
253	7667	22518
254	7691	22472
255	7716	22427
256	7741	22382
257	7765	22334
258	7791	22290
259	7815	22245
260	7846	22216
261	7872	22175
262	7900	22140
263	7926	22096
264	7950	22051
265	7974	22004
266	7998	21958
267	8023	21914
268	8046	21867
269	8070	21820
270	8094	21775
271	8119	21730
272	8142	21684
273	8167	21640
274	8193	21600
275	8216	21554
276	8243	21516
277	8269	21477
278	8295	21438
279	8322	21400
280	8348	21362
281	8375	21323
282	8398	21277
283	8423	21235
284	8447	21193
285	8473	21154
286	8499	21116
287	8526	21079
288	8555	21047
289	8582	21013
290	8611	20982
291	8641	20953
292	8669	20919
293	8698	20889
294	8726	20855
295	8751	20815
296	8780	20782
297	8806	20746
298	8836	20716
299	8864	20684
300	8891	20648
301	8917	20611
302	8942	20570
303	8968	20532
304	8991	20489
305	9017	20452
306	9043	20413
307	9068	20374
308	9092	20332
309	9118	20295
310	9143	20257
311	9167	20216
312	9192	20175
313	9219	20141
314	9244	20103
315	9270	20066
316	9295	20027
317	9319	19987
318	9343	19946
319	9369	19909
320	9394	19871
321	9419	19832
322	9445	19797
323	9469	19758
324	9493	19718
325	9520	19684
326	9546	19648
327	9571	19608
328	9595	19570
329	9619	19530
330	9645	19494
331	9668	19453
332	9692	19413
333	9716	19375
334	9741	19338
335	9766	19300
336	9790	19260
337	9815	19224
338	9840	19187
339	9866	19151
340	9890	19114
341	9916	19079
342	9941	19042
343	9965	19004
344	9990	18967
345	10016	18932
346	10041	18897
347	10065	18858
348	10092	18824
349	10117	18789
350	10142	18753
351	10166	18715
352	10191	18679
353	10214	18640
354	10240	18606
355	10266	18571
356	10291	18536
357	10318	18504
358	10344	18470
359	10369	18435
360	10396	18402
361	10421	18366
362	10445	18330
363	10470	18294
364	10494	18258
365	10519	18221
366	10543	18184
367	10567	18148
368	10592	18113
369	10617	18077
370	10641	18042
371	10667	18008
372	10690	17970
373	10715	17935
374	10741	17902
375	10767	17869
376	10791	17833
377	10815	17797
378	10839	17760
379	10864	17726
380	10889	17691
381	10913	17656
382	10938	17622
383	10962	17585
384	10986	17550
385	11011	17515
386	11035	17480
387	11061	17447
388	11087	17414
389	11111	17378
390	11137	17346
391	11162	17313
392	11187	17279
393	11212	17245
394	11236	17211
395	11264	17181
396	11289	17147
397	11314	17113
398	11338	17079
399	11364	17046
400	11388	17011
